0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:27 +0530] "GET /GraphicalTrafficAnalyser/DataServlet HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:28 +0530] "GET /AutomaticTrafficShapingGUI/TrafficFlowStatsLatest.jsp HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:29 +0530] "GET /AutomaticTrafficShapingGUI/AnalyzerStatus.jsp HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:32 +0530] "GET /AutomaticTrafficShapingGUI/TrafficFlowStats.jsp HTTP/1.1" 200 25353
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:33 +0530] "GET /AutomaticTrafficShapingGUI/TrafficFlowStatsLatest.jsp HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:33 +0530] "GET /GraphicalTrafficAnalyser/Home.jsp HTTP/1.1" 200 5045
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:33 +0530] "GET /GraphicalTrafficAnalyser/DataServlet HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:34 +0530] "GET /AutomaticTrafficShapingGUI/AnalyzerStatus.jsp HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:37 +0530] "GET /AutomaticTrafficShapingGUI/TrafficFlowStats.jsp HTTP/1.1" 200 26188
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:38 +0530] "GET /AutomaticTrafficShapingGUI/TrafficFlowStatsLatest.jsp HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:39 +0530] "GET /AutomaticTrafficShapingGUI/AnalyzerStatus.jsp HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:39 +0530] "GET /GraphicalTrafficAnalyser/Home.jsp HTTP/1.1" 200 5045
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:39 +0530] "GET /GraphicalTrafficAnalyser/DataServlet HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:42 +0530] "GET /AutomaticTrafficShapingGUI/TrafficFlowStats.jsp HTTP/1.1" 200 27023
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:43 +0530] "GET /AutomaticTrafficShapingGUI/TrafficFlowStatsLatest.jsp HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:44 +0530] "GET /AutomaticTrafficShapingGUI/AnalyzerStatus.jsp HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:45 +0530] "GET /GraphicalTrafficAnalyser/Home.jsp HTTP/1.1" 200 5045
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:46 +0530] "GET /GraphicalTrafficAnalyser/DataServlet HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:47 +0530] "GET /AutomaticTrafficShapingGUI/TrafficFlowStats.jsp HTTP/1.1" 200 27857
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:48 +0530] "GET /AutomaticTrafficShapingGUI/TrafficFlowStatsLatest.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:49 +0530] "GET /AutomaticTrafficShapingGUI/AnalyzerStatus.jsp HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:52 +0530] "GET /GraphicalTrafficAnalyser/Home.jsp HTTP/1.1" 200 5045
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:52 +0530] "GET /GraphicalTrafficAnalyser/DataServlet HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:52 +0530] "GET /AutomaticTrafficShapingGUI/TrafficFlowStats.jsp HTTP/1.1" 200 28692
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:53 +0530] "GET /AutomaticTrafficShapingGUI/TrafficFlowStatsLatest.jsp HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:54 +0530] "GET /AutomaticTrafficShapingGUI/AnalyzerStatus.jsp HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:58 +0530] "GET /GraphicalTrafficAnalyser/Home.jsp HTTP/1.1" 200 5045
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:58 +0530] "GET /GraphicalTrafficAnalyser/DataServlet HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:58 +0530] "GET /AutomaticTrafficShapingGUI/TrafficFlowStats.jsp HTTP/1.1" 200 29528
0:0:0:0:0:0:0:1 - - [13/Oct/2015:15:23:58 +0530] "GET /AutomaticTrafficShapingGUI/TrafficFlowStatsLatest.jsp HTTP/1.1" 200 1102
